comparison,fixed_factor,fixed_value,topology,stratum,outcome,false_to_false,false_to_true,true_to_false,true_to_true,discordant_n,exact_mcnemar_p
defense_effect_standard_to_defended,attack_condition,clean,sequential,semantic_sensitivity,utility,1,0,0,1,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,sequential,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,clean,sequential,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,all,utility,3,1,0,7,1,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,all,final_unsafe,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,all,intermediate_propagation,11,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,primary_strict,utility,2,1,0,6,1,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,primary_strict,final_unsafe,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,semantic_sensitivity,utility,1,0,0,1,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
defense_effect_standard_to_defended,attack_condition,compromised,sequential,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,all,utility,3,2,1,5,3,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,all,final_unsafe,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,all,intermediate_propagation,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,primary_strict,utility,2,2,1,4,3,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,primary_strict,final_unsafe,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,semantic_sensitivity,utility,1,0,0,1,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,False,sequential,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,all,utility,2,1,1,7,2,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,all,final_unsafe,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,all,intermediate_propagation,11,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,primary_strict,utility,1,1,1,6,2,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,primary_strict,final_unsafe,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,primary_strict,intermediate_propagation,9,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,semantic_sensitivity,utility,1,0,0,1,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,semantic_sensitivity,final_unsafe,2,0,0,0,0,1.0
attack_effect_clean_to_compromised,defense_prompt,True,sequential,semantic_sensitivity,intermediate_propagation,2,0,0,0,0,1.0
